[2 hours ago] 5dbaad0  HOR-969: Translation text changed as requested. <Gustavo Adolfo Cruz Laura>
[5 days ago] 63aa65b  OM-666: No es posible jalar un intermediate timer event al lane de un pool en 3.0.1.8 (build 28) <Rodrigo Quelca>
[11 days ago] 6eb3371  Gateway Exclusive Convergente: Debe tener la condificional true <richardnoel>
[13 days ago] 549f450  OM-508: TaskPropierties> No se muestra mensaje de campo requerido al tener otro(s) campo(s) requerido(s) en otra pestaña <duhnnie>
[13 days ago] 0bacda4  HOR-872 <Roly Rudy Gutierrez Pinto>
[2 weeks ago] ce6d348  OM-598: Mensaje de campo requerido, innecesario. <duhnnie>
[3 weeks ago] fc01543  BY-249 Fields Average y SDV aun se muestran <Marco A. Nina Mena>
[3 weeks ago] 72feec1  OM-582 <richardnoel>
[3 weeks ago] da79bca  HOR-785 <Roly Rudy Gutierrez Pinto>
[3 weeks ago] 2b7dec8  OM-577: No se puede editar la propiedades del gateway inclusivo <Rodrigo Quelca>
[4 weeks ago] f28f136  OM-557:[ProcessDesign] La corona del shape end se muestra desfazada si se crea en 50% <richardnoel>
[4 weeks ago] a7e31ee  HOR-768 <Roly Rudy Gutierrez Pinto>
[4 weeks ago] 826a03f  OM-552: Cambio en el mensaje de error, cuando un task o subprocess tiene espacios en blanco <alex_santos>
[4 weeks ago] effb77b  OM-546: [Process Designer] Al poner y sacar un elemento del pool las flechas que unen los elementos BPMN se ven mal <Rodrigo Quelca>
[4 weeks ago] e8581ae  OM-551:Activity allows white-space character(s) in the whole string as its name. <richardnoel>
[4 weeks ago] 539e1e2  OM-548:Process Designer: After moving any shape on canvas it is necessary two click on it twice to select it. <richardnoel>
[4 weeks ago] 76dda3a  OM-544: [processDesigner] Cuando se Suelta un elemeto dentro de un "LANE" se redimemsiona el contenedor <Rodrigo Quelca>
[4 weeks ago] 801e39c  OM-383:Error de un gateway de tipo Inclusive Converging <richardnoel>
[4 weeks ago] 969683c  OM-536:Date fields autopopulated <richardnoel>
[5 weeks ago] 722f29b  MT-115: Selective Import/Export - Add license key to include it only in enterprise/enterprise edition <mcuiza>
[5 weeks ago] f9245fc  OM-518: (WSSO) No permite hacer download de las templetas y public files <Rodrigo Quelca>
[5 weeks ago] c02ad26  BY-242 Verificar variables windows.distribution - se cambio variable a window.enterprise <Marco A. Nina Mena>
[5 weeks ago] 52a3f38  MT-106: Fix the component load for import and export processes. <Gustavo Adolfo Cruz Laura>
[5 weeks ago] 0b86947  HOR-696 <Roly Rudy Gutierrez Pinto>
[5 weeks ago] 92cf4b0  OM-511:No se visualiza bien la pantalla de 'Editor de HTML' <richardnoel>
[5 weeks ago] c501811  (origin/MT-10, composer/MT-10) Removing the download dorpdown icon. <Gustavo Adolfo Cruz Laura>
[5 weeks ago] 21e9f63  HOR-679 <Roly Rudy Gutierrez Pinto>
[5 weeks ago] 99edcf9  MT10 <Gustavo Adolfo Cruz>
[5 weeks ago] f4b4d64  MT-10 Marcas para version Enterprise. <dheeyi>
[6 weeks ago] bf1f6b4  OM-493:Redireccion diferente al refrescar la pagina del diseñador <richardnoel>
