[4 days ago] 443d719  OM-668 <jonathan>
[6 days ago] fff3e90  OM-658 <jonathan>
[6 days ago] 3cf4a0b  OM-656: Los checkboxes no recuperan la información en Mobile <alex_santos>
[6 days ago] acc6eef  update <jonathan>
[6 days ago] 9e6b3b4  OM-652 <jonathan>
[7 days ago] 4a43100  OM-644:(Suggest Grid) En una siguiente tarea, el campo suggest muestra el valor en vez del label <richardnoel>
[7 days ago] a583cbe  OM-648 <jonathan>
[7 days ago] 10224b5  OM-649:El debug sigue guardando el valor de la ultima fila borrada de un grid. <richardnoel>
[7 days ago] 5b5f164  OM-647 <jonathan>
[7 days ago] 09e0d64  OM-643 <jonathan>
[11 days ago] 8b3abb5  OM-620 <jonathan>
[11 days ago] a411fda  OM-635: [Grid-web] Al modificar el width datetime el icono se desfaza <alex_santos>
[12 days ago] 52da960  OM-633: (Suggest Grid) El modulo que se despliega con las opciones del suggest en una grilla muestra una posición incorrecta <Rodrigo Quelca>
[12 days ago] e5895a6  OM-631: FileUpload no funciona correctamente en mobile <Rodrigo Quelca>
[12 days ago] 726cee5  OM-622: Modificar el .getValue() del control file <Rodrigo Quelca>
[12 days ago] 78176d2  OM-627: [print dynaform-MOBILE] esta propiedad aparece en mobile y no tiene ninguna funcionalidad <mcuiza>
[13 days ago] 682e6c5  OM-612 <jonathan>
[13 days ago] ba26979  update <jonathan>
[2 weeks ago] acc3c34  OM-610: [Mobile] Se muestra aun el NaN en el grid cuando se adicionan rows sin ningun dato <alex_santos>
[2 weeks ago] 0acc4b4  OM-590: Correcciones de estilos a la grilla de Mobile <alex_santos>
[2 weeks ago] 52cc97e  OM-602:Grids allow to delete all rows <richardnoel>
[2 weeks ago] bb23478  TRI-1261: Funcion getText (con radio buttons) optiene valor con un espacio extra <alex_santos>
[2 weeks ago] 72fe913  OM-611:[Grid-web] TypeError: this.model.attributes.gridFunctions[field.row] is undefined <richardnoel>
[2 weeks ago] d1e8832  [Dynaform-calendario dentro de una grilla] al usar el teclado el calendario aparece cortado <richardnoel>
[2 weeks ago] ca9ee36  OM-600 <jonathan>
[2 weeks ago] fe3d246  OM-597: Formulas en grillas muestran NaN si no se tiene registros <alex_santos>
[2 weeks ago] 56a1b97  OM-605: [Ejecución de casos] El control FILE aun adiciona archivos en IE 11 en modo VIEW y DISABLED <Rodrigo Quelca>
[2 weeks ago] c118226  OM-294: [Dynaform]: Los campos text y textArea no se ven bien dentro de una grilla en internet Explorer <alex_santos>
[3 weeks ago] 7b67b2e  OM-591 <jonathan>
[3 weeks ago] 1ce8c1b  OM-589:(Grid Style) Al ocultar un campo la grilla se desfaza tanto en cabeceras como en contenido <richardnoel>
