[13 days ago] 20b8cf2d  OM-639: Properties>Case Labels>Title. Error al apretar Enter <duhnnie>
[2 weeks ago] 7c1adf3  OM-598: Mensaje de campo requerido, innecesario. <duhnnie>
[3 weeks ago] ee8f77b  OM-576 <jonathan>
[4 weeks ago] ad2904e  OM-546: [Process Designer] Al poner y sacar un elemento del pool las flechas que unen los elementos BPMN se ven mal <Rodrigo Quelca>
[4 weeks ago] 883372f  OM-277: Process designer >> Look at the text anotation on top - the lines of the text anotation symbol cross over the words themselves <alex_santos>
[5 weeks ago] 48071dd  OM-523: <alex_santos>
[6 weeks ago] 110797f  OM-493:Redireccion diferente al refrescar la pagina del diseñador <richardnoel>
[6 weeks ago] 8465420  OM-503: Variable>Uncaught TypeError: PMUI.activeCanvas.getCurrentSelection is not a function <Rodrigo Quelca>
[7 weeks ago] 6e4a182  OM-407: Al mover un tarea con el curso fuera de un Pool, se desconfigura el diseño del proceso. <alex_santos>
[7 weeks ago] 448cb53  OM-402:No se visulizan los elementos que se mueven a un pool <Rodrigo Quelca>
[8 weeks ago] a2cef0b  OM-395: Adicionar variable global que hace referencia al hostName en las llamadas a endpoints en el proyecto MIchelAngelo <alex_santos>
[3 months ago] 032ddfd  OM-265 El diseño cambia al abrir un proceso guardado <Rodrigo Quelca>
[5 months ago] 833b6b2  PM-4499: TimerEvent > Al presionar el boton "Today" se desaparece el calendario <rodrigo quelca>
[5 months ago] b3d340c  PM-4359:(Variables) El search no filtra las variables de forma correcta <richard yujra>
[5 months ago] 737315b  PM-4100: Las lineas de flujo del proceso se desconfiguran al cerrar y volver a abrir el proceso. <rodrigo quelca>
[6 months ago] 8adae1d  PM-4151: CLONE 3.0.1.6- BPMN Designer: La conexi�n entre un black box pool y un event, hace que no se pueda modificar la posicion del pool <rodrigo quelca>
[7 months ago] eb81a33  PM-3659:improvements, hiver <Richard Yujra>
[7 months ago] 3736ad4  PM-3564 <Roly Rudy Gutierrez Pinto>
[7 months ago] 6e177ac  PM-3368: Random loop in crossing lines(Mejorar el diseno de las conexiones cruzadas) <rodrigo quelca>
[7 months ago] 27978a4  PM-3456: Error en las opciones del componente de un evento <rodrigo quelca>
[7 months ago] 5b7654f  PM-3345: Mouse pointer doesn't work on process designer labels <rodrigo quelca>
[7 months ago] adc964e  PM-3167 0017833: Boton de desplazamiento (scroll) no funciona en ProcessMaker 3.0.0.6 cuando se edita triggers con el modo editor <dheeyi>
[7 months ago] 3c670b4  PM-3659:Uso de interface lenta (assignment rules) cuando se tienen varios usuarios (40000) <richard yujra>
[8 months ago] 0f8acaf  PM-3389: Error de espacio de trabajo / posicion de flujos y elementos <rodrigo quelca>
[8 months ago] 5b613ad  PM-3564 <Roly Rudy Gutierrez Pinto>
[8 months ago] 7b6f2e2  PM-3368: Random loop in crossing lines(Mejorar el diseno de las conexiones cruzadas) <rodrigo quelca>
[8 months ago] 450d960  PM-3456: Error en las opciones del componente de un evento <rodrigo quelca>
[8 months ago] 9d9f96d  PM-3222 El campo "Update Date" se actualiza cuando se utiliza el zoom. Descripcion: Se quitaron los triguers que actualizaban el diagrama como "Dirty" <rodrigo quelca>
[8 months ago] b9009b2  PM-3129 los objetos puedes ser arrastrados detras de la barra de objetos y se quedan ahi sin poder seleccionarlos Solucion: se valido el motodo moveElements para que cancele movimientos a coordenadas negativas. <rodrigo quelca>
[8 months ago] ea9a995  PM-3345: Mouse pointer doesn't work on process designer labels <rodrigo quelca>
